NFLX,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
907,355.91,344.1,3824261,359.41,342.25,349.1845,111789,2022-04-12 04:00:00
908,343.92,350.43,3015950,352,341.155,348.5373,86963,2022-04-13 04:00:00
909,350.95,341.13,4343837,352,339.86,343.168,104395,2022-04-14 04:00:00
910,340,337.86,5096441,342.36,331.615,336.5072,132372,2022-04-18 04:00:00
911,333.22,348.61,20906885,351.68,333.22,301.223,428014,2022-04-19 04:00:00
912,245.2,226.19,133331080,248.7,212.51,226.5458,2175366,2022-04-20 04:00:00
913,220,218.22,53501603,227.68,211.52,217.6368,875158,2022-04-21 04:00:00
914,220.18,215.52,37047427,226.27,210.05,216.4688,588616,2022-04-22 04:00:00
915,213.81,209.91,28152045,216.66,204.51,208.7182,435647,2022-04-25 04:00:00
916,208.8,198.4,20303089,209.15,198.2773,201.7521,341905,2022-04-26 04:00:00
917,194.005,188.54,22298394,200.19,187.77,191.8247,363098,2022-04-27 04:00:00
918,191.56,199.52,21363162,201.48,185.6,194.1274,306827,2022-04-28 04:00:00
919,198.68,190.36,16387969,204.71,190,196.8656,249736,2022-04-29 04:00:00
