MATICUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
467,0.892,0.91178,26084988.9940817,0.91333,0.8696,0.8894,47175,2022-12-12
468,0.9108,0.924,44028462.7264949,0.9424,0.8795,0.9173,50665,2022-12-13
469,0.9238,0.903,30119006.7232134,0.9383,0.8932,0.9184,41740,2022-12-14
470,0.9031,0.8786,28583216.7530704,0.90707,0.8717,0.8892,52405,2022-12-15
471,0.8786,0.7956,44976164.8782333,0.89139,0.7817,0.838,93545,2022-12-16
472,0.7959,0.8161,29643301.849615,0.81947,0.7817,0.8026,75106,2022-12-17
473,0.8159,0.8126,15025534.1132448,0.8263,0.8019,0.8141,28653,2022-12-18
474,0.8129,0.7738,37517511.1704088,0.8218,0.75759,0.7872,93590,2022-12-19
475,0.7737,0.80168,37527844.2426003,0.80949,0.7678,0.796,93157,2022-12-20
476,0.8015,0.7938,27433696.3754916,0.80392,0.7855,0.7934,66558,2022-12-21
477,0.7938,0.7963,23757605.903307,0.79874,0.7697,0.7867,60549,2022-12-22
478,0.7965,0.7991,17404700.0101079,0.8073,0.7913,0.7992,50893,2022-12-23
479,0.7991,0.7954,8970215.6912538,0.80143,0.7928,0.7974,35849,2022-12-24
480,0.7954,0.7949,9698323.0058953,0.79946,0.7856,0.793,38294,2022-12-25
481,0.795,0.8152,13794379.1506068,0.81772,0.7935,0.804,44067,2022-12-26
482,0.8152,0.806,15619693.4376972,0.81942,0.7971,0.8095,61645,2022-12-27
483,0.8062,0.7823,25397379.1275426,0.8082,0.7743,0.788,96768,2022-12-28
484,0.7825,0.7766,17304197.4777361,0.78673,0.7685,0.7787,39559,2022-12-29
485,0.7764,0.7608,32147612.8353054,0.78158,0.7473,0.7609,56438,2022-12-30
486,0.7608,0.7577,11626085.8598214,0.77224,0.7532,0.7608,33039,2022-12-31
487,0.7578,0.7601,10408781.7162881,0.76348,0.7472,0.7545,33108,2023-01-01
488,0.7599,0.78,23783726.9543794,0.7914,0.7487,0.7722,47337,2023-01-02
489,0.7805,0.7793,19618064.23865,0.78868,0.7702,0.7783,47541,2023-01-03
490,0.7792,0.8065,45793338.0005489,0.81459,0.777,0.8018,64446,2023-01-04
491,0.8066,0.7887,29850978.5891914,0.811,0.7839,0.7953,58354,2023-01-05
492,0.7887,0.799,24882989.727435,0.80074,0.7704,0.7843,58987,2023-01-06
493,0.7992,0.8062,15337712.6925682,0.81132,0.7978,0.8042,47563,2023-01-07
494,0.8064,0.84146,24863193.1019176,0.8451,0.7963,0.8139,54816,2023-01-08
495,0.8405,0.84285,46695965.6490411,0.8765,0.8346,0.8556,70639,2023-01-09
496,0.8424,0.8585,25806112.6364436,0.86128,0.8315,0.8493,38446,2023-01-10
497,0.8586,0.891,28581567.9540568,0.9014,0.8445,0.8653,45988,2023-01-11
498,0.8915,0.9152,52668988.6405032,0.9247,0.8542,0.8949,80016,2023-01-12
499,0.9154,0.9304,34194753.6285178,0.9417,0.8955,0.9161,54833,2023-01-13
500,0.9309,0.9987,106038519.477378,1.0553,0.9291,0.9869,122636,2023-01-14
501,0.9985,0.9831,38795822.8212812,1.004,0.9541,0.9769,50573,2023-01-15
502,0.9835,1.02,70645301.8406783,1.0482,0.9663,1.0056,88685,2023-01-16
503,1.0196,0.9938,43433238.100726,1.0382,0.9897,1.0123,57930,2023-01-17
504,0.9939,0.9378,52735566.7354278,1.0195,0.9244,0.9731,71841,2023-01-18
505,0.9378,0.953,24153432.6374937,0.95745,0.9164,0.94,38722,2023-01-19
506,0.953,1.0261,40607050.0570676,1.0282,0.9369,0.9821,54704,2023-01-20
507,1.0271,0.9898,42530187.5432036,1.0418,0.9862,1.0159,61606,2023-01-21
508,0.99,0.9943,41153965.4894386,1.032,0.9747,1.0003,54896,2023-01-22
509,0.9943,0.9937,32667027.1349636,1.0143,0.9705,0.9979,45738,2023-01-23
510,0.9936,0.9556,45541448.8994805,1.0436,0.942,0.9963,58085,2023-01-24
511,0.9553,0.992,41144100.8162927,1.0188,0.93089,0.9631,58736,2023-01-25
512,0.9924,1.1237,87611823.2525913,1.1298,0.9865,1.0654,116771,2023-01-26
513,1.1234,1.1593,90243516.871426,1.192,1.0603,1.1268,122724,2023-01-27
514,1.1588,1.1447,48961741.9254035,1.1728,1.0917,1.1358,72344,2023-01-28
515,1.1443,1.1779,45660241.4105207,1.2,1.1287,1.1662,71537,2023-01-29
516,1.1783,1.0878,49996279.9120963,1.1799,1.0627,1.1133,79835,2023-01-30
517,1.0878,1.1095,31309561.1052125,1.1234,1.0774,1.1023,52566,2023-01-31
518,1.1093,1.1937,53261627.0113781,1.2055,1.0609,1.1277,82548,2023-02-01
519,1.1938,1.1813,60868939.95534,1.2573,1.1744,1.2239,97236,2023-02-02
520,1.1817,1.2456,50281403.1353325,1.2535,1.166,1.2081,77605,2023-02-03
521,1.2455,1.2538,29983760.0753349,1.286,1.2156,1.252,56873,2023-02-04
522,1.2539,1.2034,44020837.865222,1.2598,1.1841,1.2147,64284,2023-02-05
523,1.2033,1.1915,33006590.5355905,1.2384,1.1676,1.2074,51706,2023-02-06
524,1.1912,1.2701,45966200.2178984,1.272,1.1878,1.2354,72326,2023-02-07
525,1.2701,1.3058,74231473.8755481,1.35,1.2536,1.2976,121260,2023-02-08
526,1.3063,1.2295,99226233.5869461,1.3483,1.2001,1.2823,156406,2023-02-09
527,1.2298,1.2299,71062874.9478668,1.3136,1.2093,1.2663,113868,2023-02-10
528,1.2297,1.2495,21780827.2910444,1.2585,1.213,1.2371,39681,2023-02-11
529,1.2501,1.2361,32571026.5452196,1.3031,1.2225,1.2683,61926,2023-02-12
530,1.2364,1.1856,65691388.5557847,1.2443,1.137,1.1787,104021,2023-02-13
531,1.1861,1.2583,65399739.236758,1.2607,1.153,1.2125,98948,2023-02-14
532,1.2584,1.3287,52226517.1929085,1.333,1.2327,1.2853,83675,2023-02-15
533,1.3289,1.3711,97063903.4837953,1.4667,1.3186,1.3912,165047,2023-02-16
534,1.3716,1.5244,80486726.5495169,1.5496,1.3686,1.4586,152921,2023-02-17
535,1.5242,1.4853,42621682.7608313,1.5686,1.4737,1.521,93825,2023-02-18
536,1.4861,1.4783,35528536.2425691,1.5366,1.4618,1.504,74520,2023-02-19
537,1.479,1.4752,32543405.0659477,1.5076,1.4322,1.4761,69977,2023-02-20
538,1.4748,1.3859,52689594.7120094,1.5032,1.3621,1.421,107290,2023-02-21
539,1.3866,1.396,48265559.1064114,1.4015,1.32,1.3563,94659,2023-02-22
540,1.3962,1.3538,27990489.0641996,1.4193,1.3332,1.3745,59131,2023-02-23
541,1.3539,1.2646,46911444.9387664,1.3636,1.2374,1.2935,81870,2023-02-24
542,1.2648,1.2474,36687977.9430089,1.2784,1.1954,1.2379,64428,2023-02-25
543,1.2482,1.2817,31200862.8249681,1.3008,1.2367,1.2701,53408,2023-02-26
544,1.2819,1.2342,43902554.5300461,1.288,1.2137,1.2476,82014,2023-02-27
545,1.2346,1.1968,48751830.5558189,1.2442,1.1808,1.2205,78880,2023-02-28
546,1.1959,1.2494,42616696.040379,1.2629,1.1902,1.2385,77828,2023-03-01
547,1.2494,1.2276,26164630.4642974,1.2558,1.1915,1.2123,46622,2023-03-02
548,1.227,1.1688,41991093.4953879,1.2289,1.1229,1.1651,78670,2023-03-03
549,1.1691,1.1277,15646107.2730661,1.1776,1.0915,1.1434,28282,2023-03-04
550,1.128,1.136,23525644.4051343,1.16,1.1178,1.1429,43125,2023-03-05
551,1.1362,1.131,29071399.6555623,1.1749,1.1142,1.1297,54254,2023-03-06
552,1.131,1.1501,46702859.8650996,1.1698,1.1119,1.1399,70331,2023-03-07
553,1.1502,1.0511,60811768.6699493,1.1576,1.0381,1.0936,83902,2023-03-08
554,1.0505,1.0171,66182692.9673504,1.0939,0.9731,1.0402,102057,2023-03-09
555,1.0173,1.062,89338058.2988807,1.07,0.9424,1.0096,112163,2023-03-10
556,1.0616,1.0608,58733624.8573942,1.1008,0.99199,1.0451,83817,2023-03-11
557,1.0608,1.1583,46813977.7839121,1.1609,1.0433,1.1014,75548,2023-03-12
558,1.1581,1.1981,66795744.3669505,1.2063,1.0954,1.1594,102023,2023-03-13
559,1.1981,1.2008,64543585.4302872,1.249,1.145,1.2033,108716,2023-03-14
560,1.1999,1.116,59613750.7664223,1.2336,1.0769,1.1568,107078,2023-03-15
561,1.116,1.1504,31634162.2719002,1.1599,1.101,1.1337,61529,2023-03-16
562,1.1498,1.2255,38166151.37864,1.2318,1.1374,1.191,67117,2023-03-17
563,1.2248,1.1735,38134698.7971586,1.2535,1.1656,1.2192,71513,2023-03-18
564,1.1732,1.1692,24539771.1826559,1.2229,1.1573,1.1936,51970,2023-03-19
565,1.1694,1.1065,43961841.9047871,1.1752,1.0981,1.1412,84019,2023-03-20
566,1.1064,1.1547,40434878.5551702,1.1711,1.08,1.1367,77588,2023-03-21
567,1.1564,1.1107,42288975.5826074,1.1641,1.086,1.1335,84922,2023-03-22
568,1.1107,1.1385,32264878.6039766,1.1601,1.0987,1.1279,69062,2023-03-23
569,1.1384,1.0983,35277134.0017398,1.149,1.0638,1.1083,72541,2023-03-24
570,1.0987,1.0795,17627342.6246745,1.1145,1.0624,1.0905,41933,2023-03-25
571,1.0795,1.1049,17387292.2813799,1.1208,1.0736,1.0972,41972,2023-03-26
572,1.105,1.046,31522208.8122836,1.1095,1.0253,1.0615,69941,2023-03-27
573,1.0463,1.0867,28970305.3709745,1.1101,1.033,1.0659,59594,2023-03-28
574,1.0869,1.1226,23803237.1501332,1.1484,1.0848,1.1255,53911,2023-03-29
575,1.1227,1.0933,23163651.2168589,1.1428,1.0792,1.1064,53269,2023-03-30
576,1.0932,1.1199,19101221.3657838,1.1239,1.0732,1.1019,42807,2023-03-31
577,1.1199,1.1121,12300966.9169369,1.1289,1.097,1.1098,30208,2023-04-01
578,1.1129,1.0957,9756446.75072395,1.1227,1.0809,1.1015,29178,2023-04-02
579,1.0957,1.0971,20132925.48459,1.1195,1.0694,1.097,49822,2023-04-03
580,1.097,1.1393,21866592.7007473,1.1545,1.0921,1.1284,50040,2023-04-04
581,1.1391,1.1404,22586160.4282847,1.1698,1.1215,1.1455,46942,2023-04-05
582,1.1401,1.1157,15141444.1165788,1.1419,1.1076,1.1218,39092,2023-04-06
583,1.1154,1.1076,11773582.2457395,1.1209,1.0948,1.1069,29046,2023-04-07
584,1.1076,1.1026,4079316.38731712,1.1183,1.1,1.1106,16779,2023-04-08
585,1.1027,1.1019,6064611.87584218,1.1107,1.0837,1.097,21650,2023-04-09
586,1.1014,1.1217,11839074.5841332,1.1251,1.0885,1.1066,29910,2023-04-10
587,1.1213,1.113,17347823.6056529,1.1323,1.1092,1.1207,36165,2023-04-11
588,1.113,1.104,15135377.0954807,1.1183,1.082,1.1,40007,2023-04-12
589,1.1044,1.1348,16366243.6700201,1.1407,1.0969,1.1287,41183,2023-04-13
590,1.1345,1.1609,48280904.8053135,1.1917,1.1345,1.1672,79962,2023-04-14
591,1.161,1.1714,22582749.5956477,1.1861,1.143,1.168,48864,2023-04-15
592,1.1714,1.1838,16787303.5916876,1.1916,1.1504,1.1713,35541,2023-04-16
593,1.1837,1.1536,24987575.0762605,1.1857,1.1479,1.1644,49525,2023-04-17
594,1.1536,1.1721,25515649.5487468,1.1842,1.1418,1.1682,52445,2023-04-18
595,1.1723,1.0852,47698608.3145545,1.1794,1.0569,1.1194,94481,2023-04-19
596,1.0848,1.046,21881378.1763551,1.0996,1.0371,1.0692,56105,2023-04-20
597,1.0459,1.0115,19196824.7380467,1.0571,1,1.0309,45911,2023-04-21
