PLTR,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
525,8.59,8.79,31376113,8.83,8.43,8.6972,69169,2022-10-31 04:00:00
526,8.99,8.65,29799983,9.06,8.56,8.7567,73311,2022-11-01 04:00:00
527,8.7,8.22,36042604,8.76,8.2,8.4813,80091,2022-11-02 04:00:00
528,8.07,8.08,36419546,8.3,7.87,8.0999,81942,2022-11-03 04:00:00
529,8.19,7.93,64338926,8.2,7.65,7.8863,132285,2022-11-04 04:00:00
530,7.78,7.02,99332839,7.85,6.89,7.1505,249803,2022-11-07 05:00:00
531,7.08,7.21,56353934,7.42,6.91,7.1866,132450,2022-11-08 05:00:00
532,7.12,6.98,42504627,7.185,6.95,7.0392,94129,2022-11-09 05:00:00
533,7.46,7.64,58579775,7.97,7.43,7.642,133561,2022-11-10 05:00:00
534,7.48,8.41,55324135,8.42,7.375,8.0783,128262,2022-11-11 05:00:00
535,8.18,8.1,37313248,8.32,7.953,8.1435,89970,2022-11-14 05:00:00
536,8.45,8.34,34454137,8.47,8.155,8.3503,79391,2022-11-15 05:00:00
537,8.18,8.06,28352797,8.24,8,8.0986,60415,2022-11-16 05:00:00
538,7.83,7.62,33746453,7.88,7.525,7.6872,76214,2022-11-17 05:00:00
539,7.76,7.39,27245241,7.79,7.31,7.4129,74534,2022-11-18 05:00:00
540,7.31,7.19,36605643,7.32,7.07,7.1629,84202,2022-11-21 05:00:00
541,7.18,7.22,27327800,7.25,6.98,7.1545,61820,2022-11-22 05:00:00
542,7.25,7.37,24182861,7.42,7.12,7.294,54119,2022-11-23 05:00:00
543,7.32,7.28,10824422,7.3394,7.19,7.2551,28136,2022-11-25 05:00:00
544,7.23,7.16,19467050,7.4,7.15,7.2439,52790,2022-11-28 05:00:00
545,7.2,7.08,22150765,7.3,7.05,7.1466,53172,2022-11-29 05:00:00
546,7.14,7.5,32745744,7.51,7.0325,7.2912,75001,2022-11-30 05:00:00
547,7.51,7.86,34424376,7.88,7.47,7.8038,85832,2022-12-01 05:00:00
548,7.615,7.66,18794030,7.76,7.5,7.6517,51818,2022-12-02 05:00:00
549,7.62,7.19,32158154,7.695,7.105,7.342,82091,2022-12-05 05:00:00
550,7.19,6.99,32868065,7.195,6.88,6.9967,83885,2022-12-06 05:00:00
551,7.08,7.07,28351611,7.35,7.02,7.1516,73586,2022-12-07 05:00:00
552,7.1,7.12,23107690,7.27,6.94,7.111,51340,2022-12-08 05:00:00
553,7.06,7.11,23367305,7.19,7.03,7.1212,48993,2022-12-09 05:00:00
554,7.11,7.29,22672395,7.31,7.09,7.2041,58177,2022-12-12 05:00:00
555,7.73,7.5,41033831,7.97,7.49,7.6892,110945,2022-12-13 05:00:00
556,7.5,7.35,22653792,7.6,7.265,7.4446,60684,2022-12-14 05:00:00
557,7.17,7.01,25417145,7.298,7.01,7.0931,68273,2022-12-15 05:00:00
558,7.02,6.9,32655552,7.08,6.76,6.8819,79170,2022-12-16 05:00:00
559,6.8,6.35,41511615,6.83,6.32,6.4644,112976,2022-12-19 05:00:00
560,6.29,6.31,30215576,6.54,6.2,6.3448,83704,2022-12-20 05:00:00
