PYPL,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
331,109.52,107.97,3769715,109.6,107.73,108.1775,36850,2019-12-30 05:00:00
332,107.54,108.17,4080618,108.45,107.2,107.9842,32554,2019-12-31 05:00:00
333,109.47,110.75,7419283,111.21,109.275,110.6741,62074,2020-01-02 05:00:00
334,109.49,108.76,7099931,110.42,108.76,109.3224,56555,2020-01-03 05:00:00
335,107.57,110.17,6766627,110.22,107.44,109.4693,51375,2020-01-06 05:00:00
336,111.5,109.67,6916836,111.56,109.53,110.114,56884,2020-01-07 05:00:00
337,110.4,111.82,8295189,112.64,109.82,111.7317,65935,2020-01-08 05:00:00
338,112.99,112.57,5950181,113.56,111.59,112.3856,52743,2020-01-09 05:00:00
339,113.64,112.93,6965689,113.71,112.27,113.182,60999,2020-01-10 05:00:00
340,113.98,115.28,9652847,115.88,113.86,115.2376,68286,2020-01-13 05:00:00
341,115.515,114.64,7182707,115.59,114.12,114.636,61562,2020-01-14 05:00:00
342,115.14,114.85,5955223,115.95,114.61,115.2121,47889,2020-01-15 05:00:00
343,115.92,115.4,4793197,116,114.85,115.3562,46425,2020-01-16 05:00:00
344,116.45,116.04,9730424,116.7,115.47,116.0387,61506,2020-01-17 05:00:00
345,115.31,116.15,8746199,116.39,115.11,115.9919,57166,2020-01-21 05:00:00
346,116.73,115.5,5305308,117.45,115.47,116.2238,47657,2020-01-22 05:00:00
347,117.4,117.89,8533941,117.9398,115.8,117.3064,69325,2020-01-23 05:00:00
348,118.45,116.98,7123969,119.6,116.51,117.9421,63408,2020-01-24 05:00:00
349,113.63,115.24,7002260,115.98,112.31,115.0286,66026,2020-01-27 05:00:00
350,115.83,116.52,6432992,117.21,114.7154,116.4811,56695,2020-01-28 05:00:00
351,117.47,116.66,9255661,117.53,115.16,115.893,81984,2020-01-29 05:00:00
352,112.79,117.12,13653347,117.2,112.42,115.4466,114159,2020-01-30 05:00:00
353,116.75,113.89,9446156,117.32,113.15,114.4011,81115,2020-01-31 05:00:00
354,114.3,116.51,8236584,117.24,114.05,116.5487,63784,2020-02-03 05:00:00
355,118.04,120.08,7396789,120.34,117.3,119.5254,65812,2020-02-04 05:00:00
356,121.2,119.72,7595345,122.19,118.891,119.9258,65271,2020-02-05 05:00:00
357,120.09,119.89,4020286,120.6,119.47,119.8326,34313,2020-02-06 05:00:00
358,119.6,118.88,4166262,119.67,118.41,118.9758,37895,2020-02-07 05:00:00
359,118.56,120.06,4868408,120.15,118.5,119.8431,39138,2020-02-10 05:00:00
