AMZN,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
394,98.2175,97.486,102472520,99.651,97.2005,98.3482,155507,2020-03-31 04:00:00
395,96.6485,95.385,82437500,97.248,94.65,95.8985,141417,2020-04-01 04:00:00
396,95.082,95.9415,86719700,96.3763,94.5,95.5626,123267,2020-04-02 04:00:00
397,95.5575,95.3295,72197400,96.3165,94.4575,95.1839,113599,2020-04-03 04:00:00
398,96.8,99.8795,115463620,99.926,96.501,98.4836,160253,2020-04-06 04:00:00
399,100.8555,100.58,102279660,101.786,99.881,100.8599,158531,2020-04-07 04:00:00
400,101.05,102.15,79546260,102.2,100.5575,101.4343,127192,2020-04-08 04:00:00
401,102.215,102.138,93112340,102.65,100.883,101.8036,143709,2020-04-09 04:00:00
402,102,108.4435,134334180,109,101.9,106.6021,216597,2020-04-13 04:00:00
403,110.0235,114.166,161735060,114.6,109.3105,112.904,259252,2020-04-14 04:00:00
404,112.884,115.384,137331340,116.6685,112.25,114.7149,229327,2020-04-15 04:00:00
405,117.3,120.4095,240764020,123.0499,116.75,119.7877,381632,2020-04-16 04:00:00
406,118.6165,118.75,158600200,120,115.801,118.051,277960,2020-04-17 04:00:00
407,119.4975,119.6805,115413880,122.249,119.3025,120.5016,204633,2020-04-20 04:00:00
408,120.8305,116.406,149533580,121.4155,113.983,117.1875,272679,2020-04-21 04:00:00
409,118.45,118.1745,84361940,119.7,117.55,118.596,140734,2020-04-22 04:00:00
410,119.999,119.9725,101331040,121.211,119.104,120.1901,168217,2020-04-23 04:00:00
411,120.85,120.511,76635940,121.0217,119.1,120.1648,137508,2020-04-24 04:00:00
412,122.16,118.8,112912900,122.244,118.15,120.0562,204761,2020-04-27 04:00:00
413,118.605,115.704,105388920,118.675,115.3,116.5167,203377,2020-04-28 04:00:00
414,116.5005,118.6355,91831860,119.5945,115.5,118.0855,175822,2020-04-29 04:00:00
415,120.992,123.7,190692220,123.75,119.8005,121.1378,348363,2020-04-30 04:00:00
416,116.84,114.302,195450520,118.122,112.9095,115.3557,410556,2020-05-01 04:00:00
417,112.819,115.7995,97278520,116.349,112.819,115.0505,168282,2020-05-04 04:00:00
418,117,115.89,64849920,117.55,115.3563,116.5394,128160,2020-05-05 04:00:00
419,116.472,117.563,62356280,117.8725,116,117.0974,114423,2020-05-06 04:00:00
420,118.739,118.3805,67928220,118.8,117.1555,117.9903,113393,2020-05-07 04:00:00
421,118.607,118.9805,64224560,119.3622,117.85,118.7297,111015,2020-05-08 04:00:00
422,118.735,120.45,65184620,120.9833,118.6055,120.3079,121012,2020-05-11 04:00:00
423,120.5925,117.8475,61498320,120.95,117.75,119.5817,122749,2020-05-12 04:00:00
424,118.34,118.396,95658380,120.385,116.8903,118.5033,173568,2020-05-13 04:00:00
425,118.0505,119.4425,72962560,119.5685,117.6605,118.6069,122971,2020-05-14 04:00:00
426,118.426,120.489,84699020,120.55,117.8185,119.3175,136695,2020-05-15 04:00:00
427,120.2173,121.313,87331440,121.65,119.2005,120.8115,159846,2020-05-18 04:00:00
428,121.4915,122.4665,86409880,124.2498,121.4485,123.2717,163871,2020-05-19 04:00:00
429,123.8935,124.897,79962860,125.0005,123.3635,124.3651,140232,2020-05-20 04:00:00
430,125,122.337,102233460,126.2725,122.127,123.6394,189641,2020-05-21 04:00:00
431,122.7505,121.844,57341500,123.4925,121.5065,122.2535,112387,2020-05-22 04:00:00
432,122.9,121.093,71363040,123.1,120.703,121.8041,129659,2020-05-26 04:00:00
433,120.2495,120.5195,101137520,120.679,116.5,119.0461,191245,2020-05-27 04:00:00
434,119.2165,120.055,63862620,121.8485,118.9115,120.6948,118927,2020-05-28 04:00:00
