XRPUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
350,0.37728,0.37956,17076123.2484243,0.39265,0.36728,0.3795,14663,2022-08-17
351,0.37968,0.37033,9572659.34875534,0.3815,0.3692,0.3754,9008,2022-08-18
352,0.37018,0.3345,20450063.2423603,0.3704,0.32881,0.3446,19615,2022-08-19
353,0.33442,0.33715,6352237.81637849,0.34287,0.33197,0.3384,11470,2022-08-20
354,0.33677,0.34452,21037799.6547797,0.362,0.33551,0.3446,10390,2022-08-21
355,0.34461,0.34411,6113350.92256163,0.3452,0.3314,0.338,10029,2022-08-22
356,0.34406,0.34713,5601751.65472809,0.34803,0.33257,0.3412,8107,2022-08-23
357,0.34731,0.3455,6617163.87158991,0.35262,0.33878,0.347,8433,2022-08-24
358,0.34582,0.3491,4353482.23912404,0.3521,0.34346,0.3463,7913,2022-08-25
359,0.34907,0.33957,15276496.6562058,0.37114,0.33256,0.3481,17588,2022-08-26
360,0.33937,0.33467,15448733.6450635,0.3454,0.32766,0.3337,9691,2022-08-27
361,0.33501,0.32277,3173695.98233687,0.33761,0.32132,0.331,6746,2022-08-28
362,0.32267,0.334,6647245.474794,0.33439,0.31868,0.3245,9616,2022-08-29
363,0.3339,0.32688,6777531.80456174,0.33596,0.3201,0.3285,9204,2022-08-30
364,0.32689,0.32788,4619190.96176715,0.33407,0.32313,0.3298,7836,2022-08-31
365,0.32769,0.33322,5046258.24004394,0.33362,0.32161,0.3265,7907,2022-09-01
366,0.3335,0.3317,6196757.77718914,0.33537,0.32533,0.3305,8892,2022-09-02
367,0.3317,0.3297,3169662.9170971,0.33584,0.32642,0.3309,5486,2022-09-03
368,0.32966,0.33179,2104401.23406274,0.33278,0.32742,0.3304,4063,2022-09-04
369,0.3317,0.33295,7048569.10114707,0.33383,0.32243,0.3284,6331,2022-09-05
370,0.333,0.32106,11794994.8957534,0.34307,0.31797,0.3311,14140,2022-09-06
371,0.32122,0.33694,12529450.1007146,0.33885,0.31255,0.3254,9545,2022-09-07
372,0.33705,0.33943,6613039.72243537,0.34362,0.32821,0.3344,9842,2022-09-08
373,0.33971,0.35702,13751873.3134025,0.35999,0.33934,0.3494,13124,2022-09-09
374,0.35709,0.3575,7824925.86014556,0.36216,0.35144,0.3573,9312,2022-09-10
375,0.35754,0.35519,2921956.81909202,0.36051,0.34838,0.3548,6456,2022-09-11
376,0.35505,0.36,4642299.51218263,0.36012,0.34755,0.3543,8381,2022-09-12
377,0.35985,0.33269,10314497.9642817,0.36032,0.33076,0.3459,11158,2022-09-13
378,0.3325,0.34182,5744667.86390017,0.34428,0.33134,0.3373,7494,2022-09-14
379,0.34159,0.32662,10794021.4837561,0.34287,0.32438,0.3298,9689,2022-09-15
380,0.32631,0.3555,11400940.5709393,0.3584,0.32155,0.3355,12405,2022-09-16
381,0.35531,0.37629,11908547.499608,0.38121,0.34643,0.3688,16193,2022-09-17
382,0.37647,0.35767,30657053.4219599,0.39796,0.3556,0.38,30398,2022-09-18
383,0.35768,0.38482,24278259.4649034,0.3934,0.34008,0.3652,25988,2022-09-19
384,0.38506,0.41388,34593377.7462148,0.42423,0.3709,0.3969,32155,2022-09-20
385,0.41456,0.39346,39952422.516062,0.43422,0.38227,0.4025,37258,2022-09-21
386,0.39353,0.48614,46678990.1576564,0.50064,0.39353,0.4504,44887,2022-09-22
387,0.48616,0.50693,64413781.4842515,0.5597,0.45678,0.5013,69064,2022-09-23
388,0.50782,0.4881,28548462.4801798,0.51974,0.47167,0.4942,42956,2022-09-24
389,0.48795,0.49212,35992111.029143,0.52179,0.47547,0.4945,37996,2022-09-25
390,0.49185,0.46791,33742788.8293696,0.50245,0.4579,0.4733,32873,2022-09-26
391,0.46853,0.44565,28389481.7009973,0.48794,0.435,0.461,27975,2022-09-27
392,0.44603,0.4489,21689035.2584087,0.45579,0.41706,0.4329,25048,2022-09-28
393,0.44909,0.48719,33062909.111117,0.50938,0.4259,0.4679,30700,2022-09-29
394,0.48752,0.48021,29169330.1148742,0.49943,0.46496,0.483,31278,2022-09-30
395,0.48,0.47548,11721150.8696342,0.48673,0.46688,0.4764,17186,2022-10-01
396,0.47544,0.44869,17034206.2286251,0.47876,0.44337,0.4617,19754,2022-10-02
397,0.4487,0.46239,18271214.423721,0.46944,0.43791,0.4506,20724,2022-10-03
398,0.46214,0.47945,17287844.4370089,0.48556,0.4514,0.4727,20270,2022-10-04
399,0.47936,0.48875,19261578.393665,0.50184,0.47194,0.4872,23495,2022-10-05
400,0.48858,0.49366,14149634.2509933,0.50593,0.48835,0.4963,18425,2022-10-06
401,0.4932,0.51797,26966170.8133306,0.53392,0.48195,0.5013,29319,2022-10-07
402,0.51794,0.51721,13665645.0961203,0.5293,0.51141,0.52,18644,2022-10-08
