GOOG,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
838,144.4755,145.0745,25224500,145.55,143.5025,144.8282,78529,2022-01-03 05:00:00
839,145.5505,144.4165,22927780,146.61,143.8161,144.816,78069,2022-01-04 05:00:00
840,144.181,137.6535,49641520,144.298,137.5235,139.9301,155209,2022-01-05 05:00:00
841,137.4975,137.551,29049040,139.686,136.7635,138.1496,94828,2022-01-06 05:00:00
842,137.905,137.0045,19408240,138.2547,135.789,137.0251,73858,2022-01-07 05:00:00
843,135.099,138.574,34095680,138.64,133.1405,136.1074,126152,2022-01-10 05:00:00
844,138.1805,140.0175,23501240,140.3295,136.8135,139.2004,73933,2022-01-11 05:00:00
845,141.5545,141.648,23641580,142.8142,141.112,141.8812,67031,2022-01-12 05:00:00
846,141.8405,139.131,26565080,143.1855,138.914,140.6774,76782,2022-01-13 05:00:00
847,137.5,139.7865,22625920,141.2005,137.5,139.6313,72551,2022-01-14 05:00:00
848,136.6,136.2905,27401960,137.3915,135.617,136.4222,89808,2022-01-18 05:00:00
849,136.9385,135.652,20773680,138.3995,135.5,136.8717,64539,2022-01-19 05:00:00
850,136.514,133.5065,21930560,137.912,133.1445,135.7306,78949,2022-01-20 05:00:00
851,133.012,130.092,41919220,134.7605,130.001,132.3076,125987,2022-01-21 05:00:00
852,126.0275,130.372,55292040,130.7785,124.642,127.5529,185541,2022-01-24 05:00:00
853,128.4355,126.7355,36008600,129.3385,126.378,127.481,108198,2022-01-25 05:00:00
854,130.5925,129.24,39630880,132.8075,127.1535,130.0164,125625,2022-01-26 05:00:00
855,131.361,129.121,30285020,132.6099,128.945,130.4413,105035,2022-01-27 05:00:00
856,130,133.2895,30517560,133.3705,128.6945,131.4571,98579,2022-01-28 05:00:00
857,134.198,135.6985,34031480,135.8435,132.274,134.4169,118025,2022-01-31 05:00:00
858,137.835,137.8785,51203200,138.2,134.5682,139.0882,198040,2022-02-01 05:00:00
859,151.8635,148.0365,89750760,152.1,145.5575,148.658,326717,2022-02-02 05:00:00
860,145.295,142.6505,56930140,149.1177,142.205,145.43,210751,2022-02-03 05:00:00
861,143.017,143.016,49216400,144.5353,139.8175,142.444,161002,2022-02-04 05:00:00
862,143.709,138.938,44610740,143.8465,138.699,140.4565,157704,2022-02-07 05:00:00
863,138.9913,139.213,34255040,139.8371,136.873,138.5096,127429,2022-02-08 05:00:00
864,140.8498,141.453,28627160,142.1755,140.377,141.1189,107382,2022-02-09 05:00:00
865,139.5,138.6025,33017700,141.431,138.05,139.3849,128711,2022-02-10 05:00:00
866,138.75,134.13,38788800,139.2833,133.2885,135.8439,148195,2022-02-11 05:00:00
