PEP,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
751,155.18,156,2540619,156.17,155.01,155.7387,40102,2021-08-30 04:00:00
752,156.09,156.39,5291405,156.47,155.34,156.129,53959,2021-08-31 04:00:00
753,156.84,157.91,4231369,158.19,156.51,157.4918,52121,2021-09-01 04:00:00
754,156.79,156.95,2862535,157.29,155.87,156.5776,46476,2021-09-02 04:00:00
755,156.2,157.09,2035082,157.42,155.9,156.9427,36520,2021-09-03 04:00:00
756,156.48,154.53,4651955,156.76,153.68,154.8875,59699,2021-09-07 04:00:00
757,154.66,156.72,3199076,156.75,154.3,156.165,47957,2021-09-08 04:00:00
758,156.88,155.73,3560737,156.97,155.4,156.0619,42717,2021-09-09 04:00:00
759,155.98,155.46,3851531,156.25,155.01,155.5335,43887,2021-09-10 04:00:00
760,155.94,155.76,3412841,157.4,155.39,156.0201,42973,2021-09-13 04:00:00
761,156.38,155.15,2855492,156.67,154.82,155.3993,48347,2021-09-14 04:00:00
762,155.22,156.02,3753071,156.38,154.78,155.8808,56552,2021-09-15 04:00:00
763,155.39,155.56,4589993,156.12,153.805,155.3105,57535,2021-09-16 04:00:00
764,155.23,154.13,8127397,155.5,153.83,154.4466,53724,2021-09-17 04:00:00
765,153.9,153.61,5484616,154.95,152.42,153.5922,73069,2021-09-20 04:00:00
766,154.61,153.54,4479924,156.12,152.97,154.0817,64748,2021-09-21 04:00:00
767,154.62,154.01,2986770,155.09,153.45,154.3285,45056,2021-09-22 04:00:00
768,153.69,154.13,2712534,154.93,153.54,154.2758,46522,2021-09-23 04:00:00
769,153.75,154.2,2366160,154.62,153.55,154.0627,44294,2021-09-24 04:00:00
770,153.8,152.72,4482062,154.15,152.39,152.9977,70042,2021-09-27 04:00:00
771,152.3696,151.05,5911130,152.5,150.1,151.1066,80958,2021-09-28 04:00:00
772,151.34,152.3,3326568,153.17,150.69,152.3125,55654,2021-09-29 04:00:00
773,153.22,150.41,5033369,153.43,150.37,151.3054,62576,2021-09-30 04:00:00
774,151.35,150.95,4274300,151.61,149.52,150.7891,67221,2021-10-01 04:00:00
775,150.88,150.2,5404863,153,149.48,150.322,88946,2021-10-04 04:00:00
776,151.3579,151.09,6103136,152.39,150.07,151.1956,74238,2021-10-05 04:00:00
777,150.84,154.96,5499234,155.16,149.96,153.4769,69924,2021-10-06 04:00:00
778,155.52,156.39,4605134,157.75,155.52,156.8727,64998,2021-10-07 04:00:00
779,156.57,156.03,4261857,156.71,155.49,156.0462,58633,2021-10-08 04:00:00
780,156.39,156.24,2738194,157.23,155.66,156.4073,44008,2021-10-11 04:00:00
781,156.22,156.93,3195707,157.85,156.21,156.9937,46165,2021-10-12 04:00:00
782,157.46,157.99,3601013,158.05,156.02,157.4893,47226,2021-10-13 04:00:00
783,158.62,159.26,3677272,159.49,158.61,159.2216,50902,2021-10-14 04:00:00
784,159.66,158.81,4312981,159.66,157.51,158.5635,48388,2021-10-15 04:00:00
785,158.202,158.09,3274249,158.7,156.8,158.0412,40649,2021-10-18 04:00:00
786,158.64,160.1,3125832,160.16,157.54,159.3551,46839,2021-10-19 04:00:00
787,160.58,161.31,3716590,161.88,159.68,161.3647,50791,2021-10-20 04:00:00
788,161.39,159.18,4164717,161.43,158.98,159.5043,53472,2021-10-21 04:00:00
789,159.58,159.97,3220314,160.47,159.47,160.0218,45380,2021-10-22 04:00:00
790,159.95,159.22,3281194,159.95,158.79,159.2534,41965,2021-10-25 04:00:00
791,159.17,161.17,3684748,161.4,159.1,160.7067,59170,2021-10-26 04:00:00
792,161.75,160.61,3751840,161.84,159.56,160.6294,44727,2021-10-27 04:00:00
793,160.85,161.62,3589576,161.73,160.465,161.3251,42765,2021-10-28 04:00:00
