WBEV,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
235,0.64,0.61,28157,0.675,0.6017,0.6383,229,2022-10-19 04:00:00
236,0.62,0.645,15478,0.645,0.5901,0.6254,100,2022-10-20 04:00:00
237,0.6699,0.64,55788,0.6699,0.605001,0.6222,185,2022-10-21 04:00:00
238,0.62,0.62745,38352,0.6626,0.62,0.6379,103,2022-10-24 04:00:00
239,0.64,0.6699,40343,0.6902,0.62,0.6486,191,2022-10-25 04:00:00
240,0.6313,0.6383,7087,0.66,0.61,0.6369,50,2022-10-26 04:00:00
241,0.6099,0.67,20957,0.7,0.6051,0.6591,145,2022-10-27 04:00:00
242,0.6411,0.67,41161,0.68,0.605,0.638,177,2022-10-28 04:00:00
243,0.67,0.6384,14782,0.67,0.6129,0.6333,141,2022-10-31 04:00:00
244,0.6265,0.57,136351,0.6399,0.55,0.5774,258,2022-11-01 04:00:00
245,0.550901,0.542,33666,0.58,0.5,0.5517,128,2022-11-02 04:00:00
246,0.5365,0.5286,16478,0.56,0.52,0.5312,88,2022-11-03 04:00:00
247,0.555,0.49,22313,0.555,0.49,0.5149,143,2022-11-04 04:00:00
248,0.525,0.48,12599,0.5499,0.46,0.4829,99,2022-11-07 05:00:00
249,0.53,0.4988,13093,0.53,0.46,0.4949,97,2022-11-08 05:00:00
250,0.47,0.41,27694,0.4935,0.4,0.4382,127,2022-11-09 05:00:00
251,0.41,0.4875,41105,0.5,0.41,0.4641,179,2022-11-10 05:00:00
252,0.4541,0.51,91138,0.51,0.44,0.4852,200,2022-11-11 05:00:00
253,0.5355,0.5,45430,0.5355,0.47,0.5051,141,2022-11-14 05:00:00
254,0.5,0.45,29503,0.5,0.45,0.4745,89,2022-11-15 05:00:00
255,0.45,0.5,34388,0.5,0.45,0.4694,133,2022-11-16 05:00:00
256,0.52,0.49,43506,0.52,0.462,0.4804,110,2022-11-17 05:00:00
257,0.5145,0.4697,15662,0.5145,0.44,0.4635,93,2022-11-18 05:00:00
258,0.4931,0.3969,55226,0.4931,0.3707,0.4243,376,2022-11-21 05:00:00
259,0.383,0.3221,35462,0.39,0.3178,0.3535,241,2022-11-22 05:00:00
260,0.339,0.3112,30986,0.3445,0.3112,0.3258,154,2022-11-23 05:00:00
261,0.3,0.3124,11635,0.3299,0.3,0.3154,81,2022-11-25 05:00:00
262,0.4,0.2701,51510,0.4,0.27,0.3168,236,2022-11-28 05:00:00
263,0.2701,0.286,67354,0.31,0.27,0.2831,182,2022-11-29 05:00:00
264,0.3003,0.2964,121729,0.3003,0.2409,0.2573,349,2022-11-30 05:00:00
265,0.241,0.2711,884872,0.32,0.19,0.2512,1456,2022-12-01 05:00:00
266,0.27,0.207,752277,0.3177,0.2066,0.2323,1864,2022-12-02 05:00:00
267,0.3961,0.4142,27390842,0.546,0.355,0.4332,37969,2022-12-05 05:00:00
268,0.12,0.3499,4277802,0.35,0.1001,0.2511,7570,2022-12-06 05:00:00
269,0.252,0.2372,922104,0.28,0.22,0.2495,2299,2022-12-07 05:00:00
270,0.2301,0.21,1539643,0.299,0.2008,0.245,2018,2022-12-08 05:00:00
271,0.1942,0.175,1113292,0.198,0.1451,0.1719,1595,2022-12-09 05:00:00
272,0.1525,0.14,582451,0.16,0.125,0.1381,901,2022-12-12 05:00:00
