BTCUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
429,20208.89,21149.04,50316.2062717326,21333.3,20181.61,20820.2206,838254,2022-11-04
430,21149.03,21300.45,17228.5634533565,21478.8,21082.54,21333.3738,452139,2022-11-05
431,21300.45,20909.17,13633.0602699445,21378,20886.26,21190.412,387050,2022-11-06
432,20908.98,20592.94,30142.280775845,21083,20394.34,20748.6829,560433,2022-11-07
433,20592,18550.25,121265.433624204,20712,16950,19205.4785,1496553,2022-11-08
434,18557,15923,34089.488852519,18600,15555,16965.4987,206508,2022-11-09
435,15894.77,17553.56,125808.414485722,18156,15720,16962.3757,1814613,2022-11-10
436,17584,17047,80182.4700519727,17671,16336.05,16996.7189,1298650,2022-11-11
437,17016.26,16820,26794.1902239298,17106,16595.25,16821.5295,499518,2022-11-12
438,16783.32,16301.39,28012.0625422369,16956,16214.95,16567.1961,504265,2022-11-13
439,16298.73,16590.73,67776.3804832366,17200,15790.25,16428.8595,1120567,2022-11-14
440,16588.41,16877.93,58605.339757759,17132,16502.85,16834.7858,1011043,2022-11-15
441,16879.37,16645.24,45137.4691517583,17002,16347,16638.0239,817025,2022-11-16
442,16646.58,16680.47,26652.0501188744,16742.3,16396,16604.6222,571091,2022-11-17
443,16681.06,16680.59,31745.8459655934,16984.08,16526.28,16719.8589,553699,2022-11-18
444,16678.78,16683.02,11069.8400341215,16811,16534.83,16637.3155,301499,2022-11-19
445,16680.7,16252.53,19508.3917165287,16742,16154.65,16465.136,412126,2022-11-20
446,16252.43,15759.72,54062.2558963987,16305,15460,15949.458,868063,2022-11-21
447,15766,16199.71,51588.0643697453,16294.5,15582.7,15982.0761,797756,2022-11-22
448,16219,16587,43369.1763998387,16700,16142.99,16463.6639,710363,2022-11-23
449,16585.83,16587.6,24812.3745921052,16804,16450.62,16602.745,482539,2022-11-24
450,16587.61,16510.9,23588.2926513458,16617,16333,16481.9699,467705,2022-11-25
451,16510.9,16449.67,14388.7665166508,16697,16376.1,16553.4151,328051,2022-11-26
452,16450.32,16419.88,12650.5671330496,16603,16395,16519.0516,302531,2022-11-27
453,16420.2,16206.3,35614.7422199505,16487,15992.64,16198.8799,600192,2022-11-28
454,16206.23,16438,27163.4926397001,16545,16092.53,16398.2538,592670,2022-11-29
455,16437.94,17167.32,49216.0937484601,17297,16420.2,16915.7557,813545,2022-11-30
456,17181,16980.08,35354.9446837887,17335,16855,17050.8021,635894,2022-12-01
457,16980.07,17094.25,26858.0359570706,17108.25,16784.2,16961.3886,523128,2022-12-02
458,17091,16888.53,15718.311410267,17171.7,16863.58,16971.5904,360027,2022-12-03
459,16889.17,17108.9,19581.237526417,17210,16882.86,17039.6972,363118,2022-12-04
460,17109.56,16966.05,38100.804050502,17440,16865.22,17158.2845,606143,2022-12-05
461,16966.05,17089.05,29455.1737990537,17111.35,16904.04,16995.823,508389,2022-12-06
462,17095,16840,25663.3929642987,17156,16679.52,16857.5204,458677,2022-12-07
463,16838.14,17226.02,27795.0129308447,17323,16735.9,17001.1804,473054,2022-12-08
464,17226.03,17130.59,24564.9353970802,17366.2,17053,17181.2386,450979,2022-12-09
465,17131.3,17128.1,8836.28139707273,17240,17093.42,17160.7471,262907,2022-12-10
466,17128.1,17085.21,12803.1115018617,17503,17070.4,17165.6853,270032,2022-12-11
467,17088.2,17211.66,25597.0846513418,17263,16875.83,17014.5381,462472,2022-12-12
468,17212.9,17773.18,48971.6342867108,18070,17089.17,17595.3754,830921,2022-12-13
469,17772.98,17804.98,56486.8226864975,18391,17657.4,17944.2274,905761,2022-12-14
470,17805.36,17359.15,42919.2310735602,17867,17261.4,17532.4294,727236,2022-12-15
471,17359.16,16632.64,54208.2968012852,17544,16529.53,16972.6438,823214,2022-12-16
472,16634.29,16781.66,20931.8486425182,16811,16576.6,16698.9695,429226,2022-12-17
473,16782.23,16755,12563.6763207233,16875,16663.76,16744.5757,331649,2022-12-18
474,16742.33,16440.26,31741.0491918172,16825,16260.2,16620.6619,507903,2022-12-19
475,16441.4,16897.65,38914.5498289979,17067.8,16398.22,16801.8804,572562,2022-12-20
476,16896.17,16826.56,19284.1480627108,16934,16725.78,16822.4314,376803,2022-12-21
477,16825.18,16815.5,24104.199055501,16873,16560.84,16742.4829,468833,2022-12-22
478,16815.28,16777.21,24465.129265822,16966,16719.57,16822.7429,406393,2022-12-23
