TSLA,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
1061,241.43,242.05,26393200,244.67,241.19,242.283,270839,2022-11-21 05:00:00
1062,243.59,245.03,19665699,245.31,240.71,243.6504,216514,2022-11-22 05:00:00
1063,245.105,247.58,19508462,248.28,244.27,246.8767,229081,2022-11-23 05:00:00
1064,247.31,247.49,9200772,248.7,246.73,247.6767,126714,2022-11-25 05:00:00
1065,246.08,241.76,24810271,246.65,240.8,242.5337,273059,2022-11-28 05:00:00
1066,241.4,240.33,17956313,242.79,238.21,240.2757,222057,2022-11-29 05:00:00
1067,240.57,255.14,47594239,255.33,239.86,250.4124,448911,2022-11-30 05:00:00
1068,253.87,254.69,26028524,256.12,250.9156,254.3605,352798,2022-12-01 05:00:00
1069,249.82,255.02,21528520,256.06,249.69,253.1141,278398,2022-12-02 05:00:00
1070,252.01,250.2,23435294,253.819,248.06,250.6795,276722,2022-12-05 05:00:00
1071,250.82,245.12,22463727,251.86,243.78,246.1697,274238,2022-12-06 05:00:00
1072,244.83,244.37,20479222,246.16,242.205,244.4617,226749,2022-12-07 05:00:00
1073,244.84,247.4,22611757,248.74,243.06,246.7518,248284,2022-12-08 05:00:00
1074,244.695,245.42,20609743,248.31,244.16,246.2204,238476,2022-12-09 05:00:00
1075,247.445,252.51,30665069,252.54,247.17,250.9043,325566,2022-12-12 05:00:00
1076,261.69,256.92,42192634,263.915,253.07,258.0996,486403,2022-12-13 05:00:00
