AMPUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
367,0.00604,0.00602,85318869.5468629,0.92127,0.00597,0.0061,11697,2022-09-03
368,0.90516,0.00608,81509132.5635434,0.99251,0.00597,0.0061,11772,2022-09-04
369,0.00608,0.00599,76624040.0193448,1.0143,0.00593,0.0061,12148,2022-09-05
370,0.006,0.00551,226331285.168832,1.0135,0.0055,0.0059,16124,2022-09-06
371,0.00552,0.00557,220391440.310236,0.97458,0.00541,0.0056,19582,2022-09-07
372,0.00559,0.00567,136195620.451131,0.97235,0.00543,0.0056,17336,2022-09-08
373,0.00568,0.00584,178018372.693828,1.0727,0.00567,0.0058,17318,2022-09-09
374,0.00583,0.00593,95668058.1960922,1.1501,0.00575,0.0062,13908,2022-09-10
375,0.00594,0.00661,993240276.012311,1.3509,0.00592,0.007,43158,2022-09-11
376,0.00659,0.00621,348964378.829062,1.3099,0.00597,0.0063,21120,2022-09-12
377,0.00621,0.00563,279267600.270427,1.2915,0.00553,0.0059,17216,2022-09-13
378,0.00563,0.00561,205091423.510405,1.1199,0.00534,0.0056,15116,2022-09-14
379,0.00561,0.00541,289851987.012383,1.1057,0.00529,0.0057,17165,2022-09-15
380,0.00541,0.00531,176999938.036116,1.0183,0.00516,0.0054,13788,2022-09-16
381,0.00531,0.00543,101868554.919248,1.0024,0.00528,0.0055,10919,2022-09-17
382,0.99522,0.00503,231673943.914081,1.018,0.0048,0.0052,14548,2022-09-18
383,0.00505,0.00502,206675041.827087,1.0044,0.00485,0.0051,13988,2022-09-19
384,0.00502,0.00487,142714277.072545,1.0025,0.00485,0.005,12108,2022-09-20
385,0.00487,0.00487,307986675.749974,1.0238,0.00474,0.0051,15397,2022-09-21
386,0.94333,0.00496,176569735.194987,1.0198,0.00477,0.005,11757,2022-09-22
387,0.00496,0.00501,133494945.901891,1.0879,0.00486,0.005,11513,2022-09-23
388,0.00501,0.00493,73572770.3380734,1.1168,0.00492,0.005,10010,2022-09-24
389,0.00493,0.00478,92225437.9237947,1.1884,0.00476,0.005,10018,2022-09-25
390,0.00478,0.0049,86631803.5956176,1.1971,0.0047,0.0049,10416,2022-09-26
391,0.0049,0.00484,196478743.629095,1.1902,0.00472,0.0049,14002,2022-09-27
392,0.00487,0.00481,97255200.853132,1.1719,0.00471,0.0048,10273,2022-09-28
393,0.00481,0.0048,115093820.575912,1.1675,0.00466,0.0048,9010,2022-09-29
394,0.00479,0.00487,223267751.255219,1.2,0.00479,0.005,12026,2022-09-30
395,0.00487,0.00488,263098557.291139,1.188,0.00487,0.0052,13379,2022-10-01
396,0.00488,0.00482,128431611.434622,1.1697,0.00478,0.0049,9857,2022-10-02
397,0.00482,0.00503,84653019.6648807,1.1819,0.00481,0.0049,10576,2022-10-03
398,0.00502,0.00509,198017502.071538,1.1999,0.00491,0.0051,12565,2022-10-04
399,0.00509,0.00515,87255794.9708607,1.1952,0.005,0.0051,8689,2022-10-05
400,0.00515,0.00503,77419089.1695992,1.194,0.00501,0.0051,8229,2022-10-06
401,0.00503,0.00498,88768058.5471181,1.1928,0.00494,0.005,7579,2022-10-07
402,0.00499,0.00499,42859329.4980749,1.1736,0.00498,0.005,6317,2022-10-08
403,0.00499,0.00499,58280045.2120786,1.1637,0.00494,0.005,6555,2022-10-09
404,0.005,1.1238,62994913.5331727,1.1546,0.00481,0.0049,7429,2022-10-10
405,0.00482,0.00472,117703127.310408,1.1394,0.00471,0.0048,8317,2022-10-11
406,0.00474,0.0049,420463510.662716,1.1267,0.00471,0.0052,13795,2022-10-12
407,0.0049,0.0048,181940930.211736,1.1005,0.00463,0.0048,11500,2022-10-13
408,0.0048,1.0672,115648053.172759,1.1287,0.0048,0.0049,9485,2022-10-14
409,0.00482,0.00497,148927169.884846,1.0693,0.0048,0.0049,8388,2022-10-15
410,0.00498,1.0447,125668202.080432,1.0578,0.00486,0.005,7650,2022-10-16
411,0.00497,0.00501,90497253.9917471,1.0624,0.00489,0.005,8066,2022-10-17
412,0.005,0.00493,205036440.415838,1.0777,0.0048,0.0051,9609,2022-10-18
413,0.00494,0.00485,71069755.7781127,1.0461,0.00481,0.0049,6888,2022-10-19
414,0.00485,0.00488,131148297.736066,1.0428,0.00482,0.005,8470,2022-10-20
415,0.00489,0.00488,69169229.502915,1.0314,0.00483,0.0049,7846,2022-10-21
416,0.00488,0.00489,70684005.6662442,1.0885,0.0048,0.0053,7578,2022-10-22
417,0.00489,0.00496,83273010.9569735,1.0928,0.0048,0.0049,8414,2022-10-23
418,0.00494,0.00482,85768795.1545957,1.0934,0.0048,0.0049,9023,2022-10-24
419,0.00482,0.00488,169679703,0.0051,0.00479,0.0049,10141,2022-10-25
420,0.00488,0.0049,102792961.966915,1.194,0.00488,0.005,11418,2022-10-26
421,0.0049,0.00481,172003003.602206,1.1868,0.00474,0.005,11374,2022-10-27
422,0.00483,0.00483,86387141.2542568,1.1807,0.00481,0.0049,10103,2022-10-28
423,0.00483,0.00487,278663384.997541,1.2037,0.00473,0.005,15419,2022-10-29
424,0.00489,0.00489,361335781.058661,1.1697,0.00485,0.0051,15518,2022-10-30
